"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"614","Rise of the Planet of the Apes",14,"Rise of the Planet of the Apes",481800873,176760185,"36.7%","$305,040,688","63.3%",2011,2570,"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",1963,2011,48
"615","Rising Sun",17,"Rising Sun",63179523,63179523,"100%","-","-",1993,2740,"Rising Sun (1992), Michael Crichton",1992,1993,1
"616","Runaway Jury",68,"Runaway Jury",80154140,49443628,"61.7%","$30,710,512","38.3%",2003,2799,"The Runaway Jury (1996), John Grisham",1996,2003,7
"617","Sahara",42,"Sahara",119240351,68671925,"57.6%","$50,568,426","42.4%",2005,2808,"Sahara (1992), Clive Cussler",1992,2005,13
"618","Sahara",147,"Sahara",1402962,1402962,"100%","-","-",1984,2808,"Sahara (1992), Clive Cussler",1992,2005,13
"619","Salmon Fishing in the Yemen",140,"Salmon Fishing in the Yemen",34564651,9047981,"26.2%","$25,516,670","73.8%",2012,2816,"Salmon Fishing in the Yemen (2006), Paul Torday",2006,2011,5
"620","Scarface",16,"Scarface",45233004,45227398,"100%","$501","<0.1%",1983,2833,"Scarface (1930), Armitage Trail",1930,1983,53
"621","Scarface",16,"Scarface",45233004,45227398,"100%","$501","<0.1%",1983,2832,"Scarface (1930), Armitage Trail",1930,1932,2
"622","Schindler's List",9,"Schindler's List",96065768,96065768,"100%","-","-",1993,2856,"Schindler's Ark (1982),[1]Thomas Keneally",1982,1993,11
"623","Sense and Sensibility",40,"Sense and Sensibility",43184363,43182776,"100%","-","-",1995,2879,"Sense and Sensibility (1811), Jane Austen",1811,1995,184
"624","Shaft",191,"Shaft",21360215,21360215,"100%","-","-",2019,2892,"Shaft (1970), Ernest Tidyman",1970,2000,30
"625","Shaft",191,"Shaft",21360215,21360215,"100%","-","-",2019,2893,"Shaft (1970), Ernest Tidyman",1970,2019,49
"626","Shaft",191,"Shaft",21360215,21360215,"100%","-","-",2019,2889,"Shaft (1970), Ernest Tidyman",1970,1971,1
"627","Shaft",43,"Shaft",107196498,70334258,"65.6%","$36,862,240","34.4%",2000,2892,"Shaft (1970), Ernest Tidyman",1970,2000,30
"628","Shaft",43,"Shaft",107196498,70334258,"65.6%","$36,862,240","34.4%",2000,2893,"Shaft (1970), Ernest Tidyman",1970,2019,49
"629","Shaft",43,"Shaft",107196498,70334258,"65.6%","$36,862,240","34.4%",2000,2889,"Shaft (1970), Ernest Tidyman",1970,1971,1
"630","Sherlock Holmes",8,"Sherlock Holmes",524028679,209028679,"39.9%","$315,000,000","60.1%",2009,65,"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle",1891,1916,25
"631","Sherlock Holmes",8,"Sherlock Holmes",524028679,209028679,"39.9%","$315,000,000","60.1%",2009,66,"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle",1891,1922,31
"632","Shining Through",59,"Shining Through",21633781,21633781,"100%","-","-",1992,2919,"Shining Through (1988), Susan Isaacs",1988,1992,4
"633","Shutter Island",22,"Shutter Island",294804195,128012934,"43.4%","$166,791,261","56.6%",2010,2927,"Shutter Island (2003), Dennis Lehane",2003,2010,7
"634","Sideways",51,"Sideways",109706931,71503593,"65.2%","$38,203,338","34.8%",2004,2928,"Sideways (2004), Rex Pickett",2004,2004,0
"635","Silver Bullet",69,"Silver Bullet",12361866,12361866,"100%","-","-",1985,731,"Cycle of the Werewolf (1983), Stephen King",1983,1985,2
"636","Singles",69,"Singles",18471850,18471850,"100%","-","-",1992,617,"Christmas at Twenty-Nine (2002), Kamato Toshio",2002,2003,1
"637","Six Weeks",82,"Six Weeks",6668025,6668025,"100%","-","-",1982,2938,"Six Weeks (1976), Fred Mustard Stewart",1976,1982,6
"638","Slayground",165,"Slayground",108128,108128,"100%","-","-",1984,2944,"Slayground (1971), Donald E. Westlake[N 3]",1971,1983,12
"639","Sleeping with the Enemy",8,"Sleeping with the Enemy",101599005,101599005,"100%","-","-",1991,2945,"Sleeping with the Enemy (1987), Nancy Price",1987,1991,4
"640","Sleepless",159,"Sleepless",32917353,20783704,"63.1%","$12,133,649","36.9%",2017,2946,"Sleepless (Arabic: لا أنام, La Anam) (1969), Ihsan Abdel Quddous",1969,1957,-12
"641","Sliver",44,"Sliver",36300000,36300000,"100%","-","-",1993,2947,"Sliver (1991), Ira Levin",1991,1993,2
"642","Solaris",113,"Solaris",30002758,14973382,"49.9%","$15,029,376","50.1%",2002,2955,"Solaris (1961), Stanislaw Lem",1961,2002,41
"643","Solaris",113,"Solaris",30002758,14973382,"49.9%","$15,029,376","50.1%",2002,2954,"Solaris (1961), Stanislaw Lem",1961,1972,11
"644","Something Wicked This Way Comes",79,"Something Wicked This Way Comes",8400000,8400000,"100%","-","-",1983,2958,"Something Wicked This Way Comes (1962), Ray Bradbury",1962,1972,10
"645","Something Wicked This Way Comes",79,"Something Wicked This Way Comes",8400000,8400000,"100%","-","-",1983,2959,"Something Wicked This Way Comes (1962), Ray Bradbury",1962,1983,21
"646","Somewhere in Time",62,"Somewhere in Time",9709597,9709597,"100%","-","-",1980,364,"Bid Time Return (1975), Richard Matheson",1975,1980,5
"647","Song of the South",35,"Song of the South",19800000,19800000,"100%","-","-",1980,3353,"Uncle Remus (1881), Joel Chandler Harris",1881,1946,65
"648","Sphere",68,"Sphere",37020277,37020277,"100%","-","-",1998,2982,"Sphere (1987), Michael Crichton",1987,1998,11
"649","Stanley & Iris",118,"Stanley & Iris",5820015,5820015,"100%","-","-",1990,3364,"Union Street (1982), Pat Barker",1982,1989,7
"650","Stardust",45,"Stardust",137515140,38634938,"28.1%","$98,880,202","71.9%",2007,3003,"Stardust (1999), Neil Gaiman",1999,2007,8
"651","Starship Troopers",39,"Starship Troopers",54818608,54814377,"100%","$1,215","<0.1%",1997,3007,"Starship Troopers (1959), Robert A. Heinlein",1959,1997,38
"652","Stella",63,"Stella",20240128,20240128,"100%","-","-",1990,3020,"Stella Dallas (1923), Olive Higgins Prouty",1923,1990,67
"653","Stir of Echoes",98,"Stir of Echoes",21142914,21142914,"100%","-","-",1999,3021,"A Stir of Echoes (1958), Richard Matheson",1958,1999,41
"654","Striptease",47,"Striptease",33109743,33109743,"100%","-","-",1996,3036,"Strip Tease (1993), Carl Hiaasen",1993,1996,3
"655","T2 Trainspotting",139,"T2 Trainspotting",41681746,2402004,"5.8%","$39,279,742","94.2%",2017,3285,"Trainspotting (1993), Irvine Welsh",1993,2017,24
"656","T2 Trainspotting",139,"T2 Trainspotting",41681746,2402004,"5.8%","$39,279,742","94.2%",2017,2585,"Porno (2002), Irvine Welsh",2002,2017,15
"657","Tai-Pan",119,"Tai-Pan",4007250,4007250,"100%","-","-",1986,3059,"Tai-Pan (1966), James Clavell",1966,1986,20
"658","Tall Tale",126,"Tall Tale",8247627,8247627,"100%","-","-",1995,2807,"The Saga of Pecos Bill (1923), Edward O'Reilly",1923,1995,72
"659","Taps",16,"Taps",35856053,35856053,"100%","-","-",1981,1172,"Father Sky (1979), Devery Freeman",1979,1981,2
"660","Tarzan",5,"Tarzan",448191819,171091819,"38.2%","$277,100,000","61.8%",1999,3127,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",1912,2013,101
"661","Tarzan",5,"Tarzan",448191819,171091819,"38.2%","$277,100,000","61.8%",1999,3123,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",1912,1999,87
"662","Tarzan and the Lost City",182,"Tarzan and the Lost City",2172941,2172941,"100%","-","-",1998,3121,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",1912,1998,86
"663","Tarzan the Ape Man",15,"Tarzan the Ape Man",36565280,36565280,"100%","-","-",1981,3084,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",1912,1932,20
"664","Terms of Endearment",2,"Terms of Endearment",108423489,108423489,"100%","-","-",1983,3132,"Terms of Endearment (1975), Larry McMurtry",1975,1983,8
"665","Tess",33,"Tess",20093330,20093330,"100%","-","-",1980,3137,"Tess of the d'Urbervilles (1891), Thomas Hardy",1891,1979,88
"666","Tex",77,"Tex",7400000,7400000,"100%","-","-",1982,3140,"Tex (1979), S. E. Hinton",1979,1982,3
"667","Texasville",149,"Texasville",2268181,2268181,"100%","-","-",1990,3141,"Texasville (1987), Larry McMurtry",1987,1990,3
"668","That Darn Cat",92,"That Darn Cat",18301610,18301610,"100%","-","-",1997,3360,"Undercover Cat (1963), Gordon Gordon and Mildred Gordon",1963,1997,34
"669","The 13th Warrior",56,"The 13th Warrior",61698899,32698899,"53%","$29,000,000","47%",1999,1074,"Eaters of the Dead (1976), Michael Crichton",1976,1999,23
"670","The Accidental Tourist",35,"The Accidental Tourist",32632093,32632093,"100%","-","-",1988,12,"The Accidental Tourist (1985), Anne Tyler",1985,1988,3
"671","The Accused",36,"The Accused",32078318,32078318,"100%","-","-",1988,298,"Be Still, My Love (1947), June Truesdell",1947,1949,2
"672","The Adventurers",148,"The Adventurers",36796816,216556,"0.6%","$36,580,260","99.4%",2017,20,"The Adventurers (1966), Harold Robbins",1966,1970,4
"673","The Adventures of Huck Finn",63,"The Adventures of Huck Finn",24103594,24103594,"100%","-","-",1993,35,"Adventures of Huckleberry Finn (1884), Mark Twain",1884,1993,109
"674","The Adventures of Mark Twain",171,"The Adventures of Mark Twain",849915,849915,"100%","-","-",1986,77,"The Adventures of Tom Sawyer (1876), Mark Twain",1876,1944,68
"675","The Adventures of Mark Twain",171,"The Adventures of Mark Twain",849915,849915,"100%","-","-",1986,83,"The Adventures of Tom Sawyer (1876), Mark Twain",1876,1986,110
"676","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,51,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1996,113
"677","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,37,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1911,28
"678","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,38,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1936,53
"679","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,45,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1972,89
"680","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,48,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1984,101
"681","The Adventures of Pinocchio",100,"The Adventures of Pinocchio",15094530,15094530,"100%","-","-",1996,40,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",1883,1947,64
"682","The Age of Innocence",50,"The Age of Innocence",32255440,32255440,"100%","-","-",1993,98,"The Age of Innocence (1921), Edith Wharton",1921,1924,3
"683","The Age of Innocence",50,"The Age of Innocence",32255440,32255440,"100%","-","-",1993,99,"The Age of Innocence (1921), Edith Wharton",1921,1928,7
"684","The Age of Innocence",50,"The Age of Innocence",32255440,32255440,"100%","-","-",1993,101,"The Age of Innocence (1921), Edith Wharton",1921,1993,72
"685","The Age of Innocence",50,"The Age of Innocence",32255440,32255440,"100%","-","-",1993,100,"The Age of Innocence (1921), Edith Wharton",1921,1934,13
"686","The Amateur",34,"The Amateur",96000836,40759635,"42.5%","$55,241,201","57.5%",2025,138,"The Amateur (Spanish: El Amateur) (1990), Mauricio Dayub",1990,1999,9
"687","The Amateur",81,"The Amateur",6892098,6892098,"100%","-","-",1982,138,"The Amateur (Spanish: El Amateur) (1990), Mauricio Dayub",1990,1999,9
"688","The American",94,"The American",67876281,35606376,"52.5%","$32,269,905","47.5%",2010,3391,"A Very Private Gentleman (1990), Martin Booth",1990,2010,20
"689","The Amityville Horror",2,"The Amityville Horror",86432000,86432000,"100%","-","-",1979,151,"The Amityville Horror (1977), Jay Anson",1977,2005,28
"690","The Amityville Horror",2,"The Amityville Horror",86432000,86432000,"100%","-","-",1979,150,"The Amityville Horror (1977), Jay Anson",1977,1979,2
"691","The Amityville Horror",47,"The Amityville Horror",107516369,65233369,"60.7%","$42,283,000","39.3%",2005,151,"The Amityville Horror (1977), Jay Anson",1977,2005,28
"692","The Amityville Horror",47,"The Amityville Horror",107516369,65233369,"60.7%","$42,283,000","39.3%",2005,150,"The Amityville Horror (1977), Jay Anson",1977,1979,2
"693","The Apple Dumpling Gang Rides Again",32,"The Apple Dumpling Gang Rides Again",20931111,20931111,"100%","-","-",1979,216,"The Apple Dumpling Gang (1971), Jack Bickham",1971,1979,8
"694","The Assault",181,"The Assault",512403,512403,"100%","-","-",1986,245,"The Assault (Dutch: De Aanslag) (1982), Harry Mulisch",1982,1986,4
"695","The Aviator",148,"The Aviator",1304192,1304192,"100%","-","-",1985,262,"The Aviator (1981), Ernest K. Gann",1981,1985,4
"696","The Aviator",22,"The Aviator",213719942,102610330,"48%","$111,109,612","52%",2004,262,"The Aviator (1981), Ernest K. Gann",1981,1985,4
"697","The Awakening",68,"The Awakening",8415112,8415112,"100%","-","-",1980,1785,"The Jewel of Seven Stars (1903), Bram Stoker",1903,1980,77
"698","The Beach",29,"The Beach",144056873,39785027,"27.6%","$104,271,846","72.4%",2000,299,"The Beach (1996), Alex Garland",1996,2000,4
"699","The Bear",38,"The Bear",31753898,31753898,"100%","-","-",1989,1484,"The Grizzly King (1916), James Oliver Curwood",1916,1988,72
"700","The Bear",132,"The Bear",2687148,2687148,"100%","-","-",1984,1484,"The Grizzly King (1916), James Oliver Curwood",1916,1988,72
"701","The Beast Within",76,"The Beast Within",7742572,7742572,"100%","-","-",1982,314,"The Beast Within (1981), Edward Levy",1981,1982,1
"702","The Beastmaster",55,"The Beastmaster",14056528,14056528,"100%","-","-",1982,309,"The Beast Master (1959), Andre Norton",1959,1982,23
"703","The Bedroom Window",80,"The Bedroom Window",12640385,12640385,"100%","-","-",1987,3566,"The Witnesses (1971), Anne Holden",1971,1987,16
"704","The Beguiled",177,"The Beguiled",27869129,10709995,"38.4%","$17,159,134","61.6%",2017,2478,"A Painted Devil (1966), Thomas P. Cullinan",1966,1971,5
"705","The Best Exotic Marigold Hotel",54,"The Best Exotic Marigold Hotel",136836156,46412041,"33.9%","$90,424,115","66.1%",2012,3148,"These Foolish Things (2004), Deborah Moggach",2004,2012,8
"706","The BFG",46,"The BFG",195243411,55483770,"28.4%","$139,759,641","71.6%",2016,362,"The BFG (1982), Roald Dahl",1982,2016,34
"707","The BFG",46,"The BFG",195243411,55483770,"28.4%","$139,759,641","71.6%",2016,361,"The BFG (1982), Roald Dahl",1982,1989,7
"708","The Black Cauldron",42,"The Black Cauldron",21288965,21288692,"100%","-","-",1985,628,"The Chronicles of Prydain (1964—1968) (series)[N 20], Lloyd Alexander",1964,1985,21
"709","The Black Dahlia",107,"The Black Dahlia",49332692,22545080,"45.7%","$26,787,612","54.3%",2006,406,"The Black Dahlia (1987), James Ellroy",1987,2006,19
"710","The Black Hole",19,"The Black Hole",35841901,35841901,"100%","-","-",1979,3330,"Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers) (1870), Jules Verne",1870,1979,109
"711","The Black Stallion",18,"The Black Stallion",37799643,37799643,"100%","-","-",1979,411,"The Black Stallion (1941–1989) (series)[N 10], Walter Farley",1941,1979,38
"712","The Black Stallion Returns",58,"The Black Stallion Returns",12049108,12049108,"100%","-","-",1983,412,"The Black Stallion (1941–1989) (series)[N 10], Walter Farley",1941,1983,42
"713","The Blue Lagoon",9,"The Blue Lagoon",58853243,58853106,"100%","-","-",1980,443,"The Blue Lagoon (1908), Henry De Vere Stacpoole",1908,1980,72
"714","The Blue Lagoon",9,"The Blue Lagoon",58853243,58853106,"100%","-","-",1980,442,"The Blue Lagoon (1908), Henry De Vere Stacpoole",1908,1949,41
"715","The Blue Lagoon",9,"The Blue Lagoon",58853243,58853106,"100%","-","-",1980,441,"The Blue Lagoon (1908), Henry De Vere Stacpoole",1908,1923,15
"716","The Bonfire of the Vanities",77,"The Bonfire of the Vanities",15691192,15691192,"100%","-","-",1990,453,"The Bonfire of the Vanities (1987), Tom Wolfe",1987,1990,3
"717","The Borrowers",87,"The Borrowers",22619589,22619589,"100%","-","-",1998,464,"The Borrowers (1952), Mary Norton",1952,1997,45
"718","The Borrowers",87,"The Borrowers",22619589,22619589,"100%","-","-",1998,463,"The Borrowers (1952), Mary Norton",1952,1973,21
"719","The Bostonians",153,"The Bostonians",1009700,1009700,"100%","-","-",1984,466,"The Bostonians (serialised 1885–1886, published as a book 1886), Henry James",1885,1984,99
"720","The Bourne Identity",19,"The Bourne Identity",214034224,121661683,"56.8%","$92,372,541","43.2%",2002,473,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,1988,8
"721","The Bourne Identity",19,"The Bourne Identity",214034224,121661683,"56.8%","$92,372,541","43.2%",2002,474,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,2002,22
"722","The Bourne Legacy",29,"The Bourne Legacy",276144750,113203870,"41%","$162,940,880","59%",2012,477,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,2012,32
"723","The Bourne Supremacy",14,"The Bourne Supremacy",290633422,176241941,"60.6%","$114,391,481","39.4%",2004,475,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,2004,24
"724","The Bourne Ultimatum",11,"The Bourne Ultimatum",442824138,227471070,"51.4%","$215,353,068","48.6%",2007,476,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,2007,27
"725","The Bride",126,"The Bride",3558669,3558669,"100%","-","-",1985,1305,"Frankenstein (1818), Mary Shelley",1818,1985,167
"726","The Bridges of Madison County",22,"The Bridges of Madison County",71516617,71516617,"100%","-","-",1995,505,"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",1992,1995,3
"727","The Call of the Wild",19,"The Call of the Wild",111166669,62342368,"56.1%","$48,824,301","43.9%",2020,549,"The Call of the Wild (1903), Jack London",1903,2020,117
"728","The Call of the Wild",19,"The Call of the Wild",111166669,62342368,"56.1%","$48,824,301","43.9%",2020,544,"The Call of the Wild (1903), Jack London",1903,1972,69
"729","The Call of the Wild",19,"The Call of the Wild",111166669,62342368,"56.1%","$48,824,301","43.9%",2020,543,"The Call of the Wild (1903), Jack London",1903,1935,32
"730","The Call of the Wild",19,"The Call of the Wild",111166669,62342368,"56.1%","$48,824,301","43.9%",2020,546,"The Call of the Wild (1903), Jack London",1903,1993,90
"731","The Captain",20,"The Captain",417863545,706572,"0.2%","$417,156,973","99.8%",2019,560,"The Captain's Table (1954), Richard Gordon",1954,1971,17
"732","The Chamber",103,"The Chamber",14551359,14551359,"100%","-","-",1996,591,"The Chamber (1994), John Grisham",1994,1996,2
"733","The Chase",120,"The Chase",7924955,7924955,"100%","-","-",1994,408,"The Black Path of Fear (1944), Cornell Woolrich",1944,1946,2
"734","The Chronicles of Narnia: Prince Caspian",10,"The Chronicles of Narnia: Prince Caspian",419665568,141621490,"33.7%","$278,044,078","66.3%",2008,626,"The Chronicles of Narnia (1950–1956) (series)[N 19], C.S. Lewis",1950,2008,58
"735","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,"39.2%","$453,302,158","60.8%",2005,625,"The Chronicles of Narnia (1950–1956) (series)[N 19], C.S. Lewis",1950,2005,55
"736","The Chronicles of Narnia: The Voyage of the Dawn Treader",12,"The Chronicles of Narnia: The Voyage of the Dawn Treader",415686217,104386950,"25.1%","$311,299,267","74.9%",2010,627,"The Chronicles of Narnia (1950–1956) (series)[N 19], C.S. Lewis",1950,2010,60
"737","The Cider House Rules",46,"The Cider House Rules",88545092,57545092,"65%","$31,000,000","35%",1999,629,"The Cider House Rules (1985), John Irving",1985,1999,14
"738","The Clan of the Cave Bear",149,"The Clan of the Cave Bear",1953732,1953732,"100%","-","-",1986,639,"The Clan of the Cave Bear (1980), Jean Auel",1980,1986,6
"739","The Client",14,"The Client",92115211,92115211,"100%","-","-",1994,645,"The Client (1993), John Grisham",1993,1994,1
"740","The Color of Money",13,"The Color of Money",52293982,52293982,"100%","-","-",1986,660,"The Color of Money (1984), Walter Tevis",1984,1986,2
"741","The Color Purple",78,"The Color Purple",68919191,60619191,"88%","$8,300,000","12%",2023,662,"The Color Purple (1982), Alice Walker",1982,2023,41
"742","The Color Purple",78,"The Color Purple",68919191,60619191,"88%","$8,300,000","12%",2023,661,"The Color Purple (1982), Alice Walker",1982,1985,3
"743","The Color Purple",5,"The Color Purple",94175854,94175854,"100%","-","-",1985,662,"The Color Purple (1982), Alice Walker",1982,2023,41
"744","The Color Purple",5,"The Color Purple",94175854,94175854,"100%","-","-",1985,661,"The Color Purple (1982), Alice Walker",1982,1985,3
"745","The Comfort of Strangers",166,"The Comfort of Strangers",1244381,1244381,"100%","-","-",1991,666,"The Comfort of Strangers (1981), Ian McEwan",1981,1990,9
"746","The Constant Gardener",69,"The Constant Gardener",82466670,33579797,"40.7%","$48,886,873","59.3%",2005,689,"The Constant Gardener (2001), John le Carré",2001,2005,4
"747","The Count of Monte-Cristo",58,"The Count of Monte-Cristo",78696400,529830,"0.7%","$78,166,570","99.3%",2024,714,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1992,148
"748","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,715,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1997,153
"749","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,705,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1954,110
"750","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,699,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1943,99
"751","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,697,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1934,90
"752","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,706,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1961,117
"753","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,710,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1975,131
"754","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,694,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1913,69
"755","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,716,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,2002,158
"756","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,717,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,2024,180
"757","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,704,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1953,109
"758","The Count of Monte Cristo",62,"The Count of Monte Cristo",75395048,54234062,"71.9%","$21,160,986","28.1%",2002,709,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",1844,1973,129
"759","The Crime of Padre Amaro",123,"The Crime of Padre Amaro",26996738,5717044,"21.2%","$21,279,694","78.8%",2002,722,"The Crime of Father Amaro (Portuguese: O Crime do Padre Amaro) (1875), José Maria de Eça de Queiroz",1875,2002,127
"760","The Crimson Rivers",72,"The Crimson Rivers",60094966,594966,"1%","$59,500,000","99%",2001,436,"Blood Red Rivers (French: Les rivières pourpres) (1997), Jean-Christophe Grangé",1997,2000,3
"761","The Da Vinci Code",2,"The Da Vinci Code",760006945,217536138,"28.6%","$542,470,807","71.4%",2006,733,"The Da Vinci Code (2003), Dan Brown",2003,2006,3
"762","The Dark Tower",72,"The Dark Tower",113231078,50701325,"44.8%","$62,529,753","55.2%",2017,759,"The Dark Tower (1998–2012) (series), Stephen King",1998,2017,19
"763","The Dead Zone",37,"The Dead Zone",20766616,20766616,"100%","-","-",1983,782,"The Dead Zone (1979), Stephen King",1979,1983,4
"764","The Deceivers",200,"The Deceivers",346297,346297,"100%","-","-",1988,799,"The Deceivers (1952), John Masters",1952,1988,36
"765","The Deep",6,"The Deep",47346365,47346365,"100%","-","-",1977,801,"The Deep (1976), Peter Benchley",1976,1977,1
"766","The Deep End",175,"The Deep End",10031529,8823109,"88%","$1,208,420","12%",2001,418,"The Blank Wall (1947), Elisabeth Sanxay Holding",1947,2001,54
"767","The Deep End of the Ocean",85,"The Deep End of the Ocean",28121100,13898649,"49.4%","$14,222,451","50.6%",1999,802,"The Deep End of the Ocean (1996), Jacquelyn Mitchard",1996,1999,3
"768","The Devil's Advocate",33,"The Devil's Advocate",60944660,60944660,"100%","-","-",1997,858,"The Devil's Advocate (1990), Andrew Neiderman",1990,1997,7
"769","The Devil's Advocate",33,"The Devil's Advocate",60944660,60944660,"100%","-","-",1997,857,"The Devil's Advocate (1954), Morris West",1954,1977,23
"770","The Devil Wears Prada",12,"The Devil Wears Prada",326551094,124740460,"38.2%","$201,810,634","61.8%",2006,856,"The Devil Wears Prada (2003), Lauren Weisberger",2003,2006,3
"771","The Dogs of War",79,"The Dogs of War",5484132,5484132,"100%","-","-",1981,902,"The Dogs of War (1974), Frederick Forsyth",1974,1981,7
"772","The Dreamers",159,"The Dreamers",15121165,2532228,"16.7%","$12,588,937","83.3%",2003,1591,"The Holy Innocents (1988), Gilbert Adair",1988,2003,15
"773","The Eagle",139,"The Eagle",37989684,19490041,"51.3%","$18,499,643","48.7%",2011,1071,"The Eagle of the Ninth (1954), Rosemary Sutcliff",1954,2011,57
"774","The End of the Affair",129,"The End of the Affair",10827816,10827816,"100%","-","-",1999,1100,"The End of the Affair (1951), Graham Greene",1951,1999,48
"775","The End of the Affair",129,"The End of the Affair",10827816,10827816,"100%","-","-",1999,1099,"The End of the Affair (1951), Graham Greene",1951,1955,4
"776","The English Patient",19,"The English Patient",78676425,78676425,"100%","-","-",1996,1106,"The English Patient (1992), Michael Ondaatje",1992,1996,4
"777","The Entity",53,"The Entity",13277558,13277558,"100%","-","-",1983,1108,"The Entity (1978), Frank De Felitta",1978,1982,4
"778","The Evening Star",113,"The Evening Star",12767815,12767815,"100%","-","-",1996,1116,"The Evening Star (1992), Larry McMurtry",1992,1996,4
"779","The Exorcist III",48,"The Exorcist III",26098824,26098824,"100%","-","-",1990,1131,"The Exorcist (1971), William Peter Blatty",1971,1990,19
"780","The Exorcist III",48,"The Exorcist III",26098824,26098824,"100%","-","-",1990,2034,"Legion (1983), William Peter Blatty",1983,1990,7
